,title,author,rating,price(₹),reading_age,page,language,publisher,weight(g),quantity,country,description
13,The Theory Of Everything,Stephen Hawking,4.5,159, 12 years and up,140,English,Jaico Publishing House; First Edition (25 September 2006); Jaico Pub House,47 g,140.00 Grams,India,"Stephen Hawking is Lucasian Professor of Mathematics at the University of Cambridge and author of A Brief History of Time which was an international bestseller. His other books for the general reader include A Briefer History of Time, the essay collection Black Holes and Baby Universe and The Universe in a Nutshell. In 1963, Hawking contracted motor neurone disease and was given two years to live. Yet he went on to Cambridge to become a brilliant researcher and Professorial Fellow at Gonville and Caius College. Since 1979 he has held the post of Lucasian Professor at Cambridge, the chair held by Isaac Newton in 1663. Professor Hawking has over a dozen honorary degrees and was awarded the CBE in 1982. He is a fellow of the Royal Society and a Member of the US National Academy of Science. Stephen Hawking is regarded as one of the most brilliant theoretical physicists since Einstein."
14,Thank You for Leaving: Learning to be okay with saying goodbye | A new book by one of India’s highest selling authors - Rithvik Singh,Rithvik Singh,4.4,170,no reading age,192,English,Ebury Press; Standard Edition (14 February 2025),156 g,no quantity,India,Rithvik Singh is the bestselling author of
15,The Darius Foroux Collection For Personal Growth & Success (Box set): A Six Books Boxset Featuring all of Darius Foroux's Bestsellers | 6 Bestselling ... Complete Toolkit for a Better Life,Darius Foroux,4.8,623,no reading age,1076,English,India Penguin (20 November 2024),677 g,2.00 Kilograms,India,"Darius Foroux is the author of 7 books, and founder of The Sounding Board. A past student of business, he writes about productivity, habits, decision making, and wealth building His ideas and work have been featured in TIME, NBC, Fast Company, Inc., Observer, and many more publications. 500K+ people read his blog every month, which he started in 2015 and uses as his main platform to connect with individuals across the globe who read his work or need guidance."
16,The Alchemist,Paulo Coelho,4.6,219, 14 years and up,172,English,Harper; Later Printing edition (17 October 2005),400 g,1.00 Count,United Kingdom,no description
17,"The Housemaid: An Absolutely Addictive Psychological Thriller with a Jaw-Dropping Twist (The Housemaid series, Book1) | TikTok Viral & Bestseller Pick",The Housemaid Freida McFadden,4.4,316,no reading age,336,English,India Penguin (25 April 2023); Penguin,260 g,260 Grams,India,no description
18,Metamorphosis,Franz Kafka,4.4,89, 16 years and up,80,English,"Fingerprint! Publishing; First Edition (1 January 2014); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265358",60 g,1 Count,India,"An icon of twentieth-century literature, Franz Kafka was born on July 3, 1883, into a middle-class, German family in Prague. Never famous in his own lifetime, most of Kafka's works were published and translated only during the 1920s and 1930s and almost instantly, they became cult texts of modern literature. The Judgment, The Metamorphosis and Amerika were all written in 1912 while The Trial, Kafka's most famous novel, was written in 1914. Kafka died of tuberculosis in 1924."
19,The Chola Tigers: Avengers of Somnath - A Historical Fiction by Amish | Bestselling Author of The Immortals of Meluha | Indian History Adventure,Amish,4.4,318,no reading age,360,English,Harper Fiction (29 August 2025); HarperCollins Publishers; Product Safety Manager; enquiries@harpercollins.ie,240 g,500.00 Grams,no country,no description
20,Who Will Cry When You Die?,Robin Sharma,4.4,188, 17 years and up,256,English,Jaico Publishing House; First Edition (15 June 2006),170 g,no quantity,India,"Robin Sharma is a globally respected humanitarian. Widely considered one of the world’s top leadership and personal optimization advisors, his clients include famed billionaires, professional sports superstars, and many Fortune 100 companies. The author’s #1 bestsellers, such as The Monk Who Sold His Ferrari, The Greatness Guide and The Leader Who Had No Title are in over 92 languages, making him one of the most broadly read writers alive today. Go to robinsharma.com for more inspiration + valuable resources to upgrade your life."
21,Operation SINDOOR: The Untold Story of India's Deep Strikes Inside Pakistan (The Most Definitive Account of Operation SINDOOR by Former DG Defence Intelligence Agency),Lt Gen KJS 'Tiny' Dhillon,4.2,403,no reading age,248,English,Penguin Veer (5 September 2025); Penguin Random House India Pvt Ltd,410 g,no quantity,India,An authentic and valuable retelling of India’s thunderous mission that has substantially changed the level of security in the subcontinent.
22,"THINK STRAIGHT: Change Your Thoughts, Change Your Life",Darius Forous,4.2,169,no reading age,112,English,"Penguin India; 1st edition (26 October 2020); Penguin Random House India | 7th Floor, Infinity Tower C, DLF CyberCuty, Gurugram, Haryana, 122002",80 g,1 Count,India,"Darius Foroux is the author of 7 books, and founder of The Sounding Board. A past student of business, he writes about productivity, habits, decision making, and wealth building His ideas and work have been featured in TIME, NBC, Fast Company, Inc., Observer, and many more publications. 500K+ people read his blog every month, which he started in 2015 and uses as his main platform to connect with individuals across the globe who read his work or need guidance."
23,My Journey: Transforming Dreams into Actions,A.P.J. Abdul Kalam,4.6,165,no reading age,160,English,Rupa Publications India; 1st edition (27 August 2013); Rupa and Co,136 g,1.00 Count,India,"About the Author: The author, Dr. Avul Pakir Jainulabdeen Abdul Kalam was born on 15th October 1931, at Rameswaram, which is in Tamil Nadu. He majored in Aeronautical Engineering from Madras Institute of Technology and is one of the most renowned scientists in the country. He has received many awards, including the Padma Bhushan (1981), the Padma Vibhushan (1990) and the Bharat Ratna (1997)."
24,Atomic Habits: The life-changing million copy bestseller,James Clear,4.6,535, 15 years and up,320,English,Random House Business (18 October 2018); Penguin Random House Ireland Limited; productsafety@penguin.co.uk,430 g,750.00 Grams,United Kingdom,"James Clear is an expert on habits and decision making. He made his name as the author of one of the fastest-growing email newsletters in history, which grew from zero to 100,000 subscribers in under two years. Today, his newsletter has over 400,000 subscribers, and his articles at jamesclear.com receive 10 million hits each year. His work frequently appears in publications including the"
25,Harry Potter 1–3 Box Set: A Magical Adventure Begins,J.K. Rowling,4.6,935, 10 years and up,1216,English,Bloomsbury Children's Books (31 October 2019),1 kg 100 g,1.00 Count,United Kingdom,Select Guide Rating
26,This Book Won't Teach You Parenting: But It Will Make You a Better Parent,Riri G Trivedi,4.7,325,no reading age,352,English,Penguin eBury Press (1 June 2025),250 g,500.00 Grams,India,Riri G Trivedi
27,"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",Ichiro Kishimi and Fumitake Koga,4.5,332,no reading age,288,English,Allen & Unwin; Main edition (30 April 2018); Allen & Unwin,320 g,320 Grams,no country,―
28,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],Penguin Books,4.7,148, 2 - 8 years,26,English,Penguin Select; New edition (3 October 2024); Penguin Random House India Pvt. Ltd.,328 g,500.00 Grams,Singapore,no description
29,"World's Greatest Books for Wealth and Success (Set of 4): Self-Help for Personal Development, Money & Mindset | Includes Power of Subconscious Mind, ... Subconscious Mind, Think & Grow Rich & More",Dale Carnegie,4.9,371,no reading age,1084,English,Penguin Select Classics (7 July 2025),889 g,no quantity,Singapore,"Dale Carnegie, known as 'the arch-priest of the art of making friends', pioneered the development of personal business skills, self-confidence and motivational techniques. His books - most notably"
30,100 Quotes That Will Change Your Life,Library Mindset,4.3,189,no reading age,106,English,"Notion Press (4 November 2022); Notion Press Media Pvt Ltd | No,50, Chettiyar Agaram Main Road, Vanagaram, Chennai - 600095 | URL: https://notionpress.com/store | Mail Id: orders@notionpress.com",1 kg 50 g,no quantity,India,no description
31,"Historic Cities in the Face of Disasters: Reconstruction, Recovery and Resilience of Societies (The Urban Book Series)",Andrew Hopkins,no rating,"11,209",no reading age,666,English,Springer Nature Switzerland AG; 1st ed. 2021 edition (14 September 2021); Springer Nature Switzerland AG,215 g,1 Piece,no country,"“There is a vast amount of information in the book for readers to understand the complexity of this field. Hopefully, not only urban designers will take advantage of it, as the details are extensive enough to also be relevant for architects, engineers, policy-makers and public administration officials involved in the rehabilitation process.” (Meenakshi Bhagat, Urban Design, Issue 164, 2022)"
32,"The Boy, the Mole, the Fox, and the Horse: A Heartfelt Journey of Friendship and Wisdom | Best in Inspirational and Illustrated Books for Gifting",Charlie Mackesy,4.7,827, 7 years and up,128,English,Ebury Press (10 October 2019); Penguin Random House Ireland Limited; productsafety@penguin.co.uk,542 g,2.25 Kilograms,United Kingdom,"Wise words -- James Corden

Charlie Mackesy's mesmerizing debut combines the simplicity of 'The Giving Tree', magic of 'The Velveteen Rabbit' and the curiosity of 'Paddington' -- Elisabeth Egan ―"
33,"41 Anmol Kahaniya (Hindi) - Premchand - Maple Classics - Kafan, Poos Ki Raat, Do Bailon ki Katha, Eidgah, Griha Daah, Shanti, Prerana, Sacchai ka Uphaar, Saut, Swarg ki Devi",Premchand,4.4,187, 10 years and up,368,Hindi,Maple Press; First Edition (20 May 2015),467 g,no quantity,India,no description
34,Eleven Minutes,Paulo Coelho,4.4,244,no reading age,304,English,Harper; Latest edition (20 March 2006); Harper; Latest edition (20 March 2006),400 g,1 Count,United Kingdom,"Paulo Coelho, born in Rio de Janeiro in 1947, is one of the bestselling and most influential authors in the world. The Alchemist, The Pilgrimage, The Valkyries, Brida, Veronika Decides to Die, Eleven Minutes, The Zahir, The Witch of Portobello and The Winner Stands Alone, among others, have sold 115 million copies in more than 160 countries."
35,Days at the Morisaki Bookshop: The perfect book to curl up with - for lovers of Japanese translated fiction everywhere (The Morisaki Bookshop series 1),Satoshi Yagisawa,4.4,no price,no reading age,162,English,Manilla Press (4 July 2023),no weight,no quantity,no country,no description
36,Handbook on Information Technology in Finance,no author,4.4,no price,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
37,The Man Eating Leopard of Rudraprayag,Jim Corbett,4.7,151,no reading age,184,English,Rupa Publictions; First Edition (20 July 2016); Rupa Publications India,185 g,1 Piece,India,"Edward James ‘Jim’ Corbett (25 July 1875 –19 April 1955) was an Anglo-Indian hunter and tracker-turned-conservationist, author and naturalist, famous for hunting a large number of man-eating tigers and leopards in India. He played a key role in creating a national reserve for the endangered Bengal tiger in what is now Uttarakhand. In 1957 the national park was renamed Jim Corbett National Park in his honour."
38,THE GOLDFINCH,Donna Tartt,4.2,426,no reading age,880,English,Abacus (25 June 2014),590 g,750.00 Grams,no country,Another rich slice of gothic drama
39,"ALCRAFT Blank Spell Book of Shadows Journal with Lock Clasp Antique Handmade Deckle Edge Vintage Paper Leather Bound Journal for Women and Men |Travel Notebook for Writing 15.24 X 11.43 CM, 200 pages",no author,4.4,314,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
40,"Writing Practice Workbooks - Pack of 4 Early Writing Books for Kids (Writing Fun Series): Write and Practice Capital Letters, Small Letters, Line Tracing Patterns & Numbers 1–10 | Pre-Writing Skills Workbook Set for Preschool & Kindergarten | Ages 3–6 Years | Hours of Learning time | Perfect for Gifting",Wonder House Books,4.3,189, 3 - 4 years,64,English,"Wonder House Books; First Edition (1 January 2018); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265484",250 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
41,Was I Ever Enough?,Yash Ranjit Jain,4.8,235,17 years and up,262,English,"Yash Ranjit Jain, Delhi open Books (Distributor) (13 July 2025); Yash Ranjit Jain",250 g,no quantity,India,no description
42,Tuesdays With Morrie: The most uplifting book ever written about the importance of human connection,Mitch Albom,4.6,no price,no reading age,218,English,Sphere; New Ed edition (11 June 2009),no weight,no quantity,no country,No one but Mitch Albom could have read
43,"Upside-Down King, The: Unusual Tales",Sudha Murty,4.7,197, 10 - 12 years,256,English,Puffin (25 September 2018),159 g,250.00 Grams,India,no description
44,ALCRAFT Real Leather Green Stone Brown Embossed Handmade Diary with Metal Lock -Size of (H) 6*(L) 4.5 Brown,no author,4.2,232,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
45,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.8,484, 10 years and up,560,English,Bloomsbury Children's Books; Special Edition (1 September 2014),1 kg 50 g,750.00 Grams,no country,"I've yet to meet a ten-year-old who hasn't been entranced by its witty, complex plot and the character of the eponymous ―"
46,The Monk Who Sold His Ferrari,Robin Sharma,4.5,184, 16 years and up,198,English,Jaico Publishing House; First Edition (25 September 2003),272 g,1.00 Count,India,"About the Author: Robin Sharma, who is the author of The Monk Who Sold His Ferrari, is one of the best-known experts in leadership. This book and a second book titled The Greatness Guide by Robin Sharma have been bestsellers, the world over and have been published in seventy languages as well. The principles in this book have been followed by many celebrities, across the globe. The author has also cofounded 960vets.com. He ranked in at the twelfth position in the list of International Professional Leadership Gurus, of the year 2012."
47,Gaban - Hindi - Premchand (Maple Classics),Munshi Premchand,4.4,149, 16 years and up,352,Hindi,Maple Press; First Edition (15 May 2015),230 g,no quantity,India,"Munshi Premchand, an Indian writer (novel writer, story writer and dramatist), was born in the year 1880 at 31st of July in the Lamhi village (near Varanasi). He is the famous writer of the early 20th century. He got died at 8th of October in 1936 by serving the people with his great writings. The birth name of him is Dhanpat Rai Srivastav and pen name is Nawab Rai. He wrote his all writings with his pen name. Finally his name changed to the Munshi Premchand. His first name Munshi is an honorary prefix given by his lovers in the society because of his quality and effective writings. As a Hindi writer he wrote approximately dozen novels, 250 short stories, numerous essays and translations."
48,Magic,Rhonda Byrne,4.6,296, 14 years and up,254,English,Simon & Schuster Ltd; 1st edition (1 January 2012); Simon & Schuster,100 g,500.00 Grams,India,Select Guide Rating
49,"Classmate Long Book - Unruled, 172 Pages, 272 mm x 167 mm - Pack Of 3",no author,4.2,128,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
50,The Very Hungry Caterpillar: Touch and Feel Playbook,Eric Carle,4.5,301, Baby - 2 years,12,English,Puffin; Latest edition (7 March 2013); Penguin Random House Ireland Limited; productsafety@penguin.co.uk,372 g,500.00 Grams,United Kingdom,Select Guide Rating
51,The Hound of The Baskervilles,Sir Arthur Conan Doyle,4.5,150,no reading age,224,English,"Fingerprint Publishing (1 April 2019); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265358",150 g,1 Count,India,"An exceptionally talented storyteller, Sir Arthur Ignatius Conan Doyle was born in Edinburgh, Scotland, in May 1859. Doyle began writing while studying at the University of Edinburgh Medical School. In 1886, he began writing A Study in Scarlet, the story which not only featured Sherlock Holmes and Dr. Watson for the first time, but was also the first work of detective fiction where the magnifying glass was used as an investigative tool. Sherlock Holmes, the most well-known fictional detective, has been listed with Guinness World Records as the “most portrayed movie character” in history. Doyle wrote numerous novels, short stories, and novellas. The Valley of Fear (1915) is his fourth and last Sherlock Holmes novel. His later works reflect his passion for spiritualism, which had started when he joined the Society of Psychical Research in 1873. Doyle died of a heart attack in July 1930. He continues to be remembered as a master storyteller and the creator of the timeless detective, Sherlock Holmes."
52,Dheera Sameere Ganga Teere Paperback,Ravi Mantri,4.8,220,no reading age,220,no language,Aju Publications (31 July 2025),220 g,no quantity,India,no description
53,Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),thibaut meurisse,4.5,no price,no reading age,215,English,no publisher,no weight,no quantity,no country,no description
54,"Edulearnable College Spiral Notebook,A5 3 Pcs Pack,Size 5.5X8.2 Inches Blank Travel Writing Notebooks Journal,Memo Notepad Sketchbook,Students Office Business Subject Diary Book Journal-Kraft Cover,120 Pages",no author,4.3,399,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
55,The Other Side of Midnight,Sidney Sheldon,4.4,318,no reading age,448,English,Harpercollins; Latest edition (5 September 2005),294 g,500.00 Grams,no country,no description
56,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),Mark Manson,4.5,no price,no reading age,212,English,Harper (13 September 2016),no weight,no quantity,no country,no description
57,The Beekeeper of Aleppo: The Sunday Times Bestseller and Richard & Judy Book Club Pick,Christy Lefteri,4.4,no price,no reading age,337,English,Zaffre (29 April 2019),no weight,no quantity,no country,In The Beekeeper she has created an utterly convincing and harrowing novel about the will to survive and the enduring power of love ―
58,"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,4.5,215, 2 - 5 years,160,English,"Maple Press Pvt Ltd; Kids Edition (21 August 2021); Maple Press, Noida",475 g,1 Set,India,no description
59,Veronika Decides to Die,Paulo Coelho,4.4,245,no reading age,208,English,Harper; Veronica Decides to Die edition (17 October 2005),294 g,500.00 Grams,United Kingdom,no description
60,Creative Coloring Mandala For Kids : Coloring Book To Improve Concentration And Relaxation,Wonder House Books,4.4,109, 5 - 12 years,32,English,"Wonder House Books; First Edition (20 June 2019); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265619",125 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
61,Cozy Corner: A Calm and Comforting Colouring Book for All Ages (Coco Wyo),Coco Wyo,4.3,315,12 years and up,96,English,Penguin (20 March 2025); Penguin Random House Ireland Limited; productsafety@penguin.co.uk,299 g,500.00 Grams,United Kingdom,"Coco Wyo is a group of artists and colourists who share a simple goal: to inspire emotional expression through colours by creating a variety of colouring books that inform, comfort, and connect people everywhere. While colouring these books, you'll find yourself immersed in a pleasant world where you can relax, unwind, and express yourself in your own unique way. Please check out Coco Wyo’s large community on Instagram (@cocowyocoloring) and TikTok (@cocowyocoloring) – you’ll never run out of inspiration, joining a warm and creative community that shares your love for colouring!"
62,"Kadali Telugu Books Combo (Set of 4) - Chick Lit, Letters to Love, Kadali Kathalu and Aadavari Matalaku",Kadali,3.6,712,16 years and up,550,Telugu,Kadali Writes and Publications; Classic Edition (17 August 2025),480 g,no quantity,India,no description
63,BRAHMASTRA Complete Maths Multicolored Formula Book | English Medium | 3rd Edition | By Aditya Ranjan,Aditya Ranjan Sir,3.0,197,14 years and up,304,English,Aditya Ranjan Publication; 2026-2027 edition (16 September 2025); Aditya Ranjan Publication,450 g,1 Count,India,no description
64,Anupam Sketch-O Sketchbook A5 | 50 Sheets 100 Pages | 140GSM | Durable Acid Free Drawing Paper |Side Spiral-Bound Sketchpad for Artists Kids & Professionals for Marker Colored Pencil Charcoal,no author,4.4,102,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
65,A Court of Thorns and Roses: Enter the EPIC fantasy worlds of Sarah J Maas with the breath-taking first book in the GLOBALLY BESTSELLING ACOTAR series,Sarah J. Maas,4.4,no price,no reading age,429,English,Bloomsbury Publishing; 1st edition (5 May 2015),no weight,no quantity,no country,no description
66,"The Heartfulness Way, Book 2: Contemplating Life's Great Questions on the Nature of Reality | Daaji & Elizabeth Denley on the Purpose of Life, Happiness, and Balance",Kamlesh D. Patel,5.0,365,no reading age,216,English,Penguin Ananda (29 September 2025),480 g,no quantity,India,"Elizabeth Denley has been a Heartfulness practitioner for 36 years, deeply involved in the development of the Institute and of various publications. She also has a PhD in ecological sciences and loves research in natural sciences, and the yogic sciences. She spends her time between Australia and Kanha Shanti Vanam, the Heartfulness headquarters, and is a speaker and presenter of workshops on awareness and consciousness."
67,"The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing",Benjamin Graham,4.5,no price,no reading age,640,English,Harper Business; Revised ed. edition (17 March 2009),no weight,no quantity,no country,"Among the library of investment books promising no-fail strategies for riches, Benjamin Graham's classic,"
68,"The Personal MBA: The bestselling business book containing you everything you need to know about marketing, management and leadership",Josh Kaufman,4.5,no price,no reading age,476,English,Penguin; 1st edition (3 February 2011),no weight,no quantity,no country,"This book goes far beyond business: I used the marketing, sales, and communication principles in this book to complete my PhD and land a highly competitive postdoc and professorship at a world-class research university."
69,Toy Imagine 4-Pack Water Magic Coloring Books with Refillable Pens - No-Mess Water Reveal Activity Book Set for Kids - Reusable & Travel-Friendly,no author,4.1,167,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
70,YOUVA Navneet Spiral Long Book For Students And Executives | Spiral Bound With Safety Lock | A4 Size - 21 X 29.7 Cm | Single Line | 300 Pages | Pack Of 1,no author,4.4,120,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
71,Pratigya (Hindi),Premchand,4.4,104,no reading age,128,Hindi,Maple Press (1 January 2013),175 g,no quantity,India,no description
72,MTG International Mathematics Olympiad (IMO) Workbook Class 4 - Chapterwise Previous Year Solved Paper & Achievers Section - SOF Olympiad Books For 2025-26 Exam,MAHABIR SINGH,4.5,98,no reading age,80,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",120 g,120 Count,India,no description
73,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors (How to be More Likable and Charismatic Book 1)",Patrick King,4.3,no price,no reading age,278,English,Big Mind LLC (7 December 2020),no weight,no quantity,no country,no description
74,amazon basics Mandala Coloring Book for Adults | Relaxation and Creativity | Tear-Out Sheets Included (Dahlia),no author,4.6,129,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
75,One Arranged Murder,Chetan Bhagat,4.3,164, 15 years and up,356,English,HarperCollins Publishers India; 2022nd edition (20 July 2022); HarperCollins Publishers; Product Safety Manager; enquiries@harpercollins.ie,294 g,1.00 Count,United Kingdom,Select Guide Rating
