,brand,model_name,screen_size(inches),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
145,acer,CB315-4H,15.6 Inches,"19,990",8 GB,128 GB,Others,Chrome OS,no rating,184 ratings,Integrated
146,ZEBRONICS,no model_name,no screen_size,299,no ram,no storage,no cpu_model,Mac OS,3.7,95 ratings,no graphics_card_description
147,no brand,no model_name,no screen_size,649,no ram,no storage,no cpu_model,no operating_system,no rating,"4,094 ratings",no graphics_card_description
148,Lenovo,Lenovo V14,14 Inches,"46,990",16 GB,no storage,Core i5,Windows 11 Home,3.6,42 ratings,Integrated
149,Lenovo,LOQ,15.6,"1,32,490",16 GB,1 TB,Intel Core i7,Windows 11 Home,no rating,3 ratings,Dedicated
150,ZEBRONICS,,no screen_size,"1,199",no ram,no storage,no cpu_model,no operating_system,3.6,33 ratings,no graphics_card_description
151,Lenovo,IdeaPad Slim 3,15.3,"57,490",24 GB,1 TB,Intel Core i5,Windows 11 Home,no rating,10 ratings,Integrated
152,Lenovo,IdeaPad Slim 3,15.3,"54,980",16 GB,no storage,Intel Core 5,Windows 11 Home,3.7,9 ratings,Integrated
153,ASUS,ASUS Vivobook 16,16 Inches,"90,990",16 GB,512 GB,Ryzen AI,Windows 11 Home,no rating,8 ratings,Integrated
154,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"1,15,990",16 GB,512 GB,Apple M4,Mac OS,no rating,620 ratings,Integrated
155,Apple,MacBook Air,13.6 Inches,"94,990",16 GB,no storage,Apple M2,no operating_system,no rating,8 ratings,no graphics_card_description
156,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,no rating,620 ratings,Integrated
157,MSI,Katana 15 HX B14WFK,41 Centimetres,"1,41,649",16 GB,no storage,Intel Core i9,Windows 11 Home,no rating,1 rating,Dedicated
158,ASUS,ASUS Vivobook 15,15.6 Inches,"62,990",16 GB,1 TB,Intel Core i7,Windows 11 Home,3.7,41 ratings,Integrated
159,Samsung,Samsung Galaxy Book4,15.6 Inches,"49,500",16 GB,512 GB,Intel Core i5,Windows 11 Home,no rating,96 ratings,Integrated
160,HP,HP Laptop,39.6 Centimetres,"79,990",16 GB,no storage,Ryzen 7,Windows 11 Home,no rating,232 ratings,Dedicated
161,Lenovo,IdeaPad Slim,15 Inches,"60,780",16 GB,512 GB,Core i7-13700K,Windows 11 Home,no rating,436 ratings,Integrated
162,acer,Aspire 3,15.6 Inches,"32,100",24 GB,512 GB,Core i3,Windows 11 Home,no rating,16 ratings,Integrated
163,acer,Travel Lite,14 Inches,"49,990",32 GB,512 GB,Intel Core 5,Windows 11 Pro,3.5,3 ratings,Integrated
164,Dell,Dell Laptop,15.6 Inches,"73,990",,1 TB,Core i5,Windows 11 Home,no rating,"1,305 ratings",Dedicated
165,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,no rating,121 ratings,Integrated
166,acer,Aspire 3,14 Inches,"39,990",,512 GB,Core i5,Windows 11 Home,no rating,84 ratings,Integrated
167,Primebook,Primebook 2 Max,15.6 Inches,"19,490",8 GB,256 GB,MediaTek Helio,PrimeOS 3.0,no rating,129 ratings,Integrated
168,amazon basics,no model_name,no screen_size,269,no ram,no storage,no cpu_model,no operating_system,no rating,"2,823 ratings",no graphics_card_description
169,HP,HP Laptop,39.6 Centimetres,"48,820",16 GB,512 GB,Core i5,Windows 11,no rating,4 ratings,Integrated
170,acer,Aspire Go 14,14 Inches,"49,990",16 GB,512 GB,Intel Core Ultra 5,Windows 11 Home,3.6,65 ratings,Integrated
171,ASUS,ASUS V16,16 Inches,"1,09,990",16 GB,no storage,Intel Core 7,Windows 11 Home,no rating,2 ratings,Dedicated
172,no brand,no model_name,no screen_size,395,no ram,no storage,no cpu_model,no operating_system,no rating,"2,642 ratings",no graphics_card_description
173,no brand,no model_name,no screen_size,345,no ram,no storage,no cpu_model,no operating_system,no rating,"2,175 ratings",no graphics_card_description
174,HP,HP Laptop,39.6 Centimetres,"45,490",16 GB,512 GB,Ryzen 7,Windows 11 Home,no rating,"1,375 ratings",Integrated
175,HP,HP Laptop,39.6 Centimetres,"62,990",16 GB,512 GB,no cpu_model,Windows 11 Home,3.7,401 ratings,Dedicated
176,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"90,990",16 GB,256 GB,Apple M4,Mac OS,no rating,620 ratings,Integrated
177,Apple,MacBook Air,13.6 Inches,"94,990",16 GB,no storage,Apple M2,no operating_system,no rating,8 ratings,no graphics_card_description
178,Lenovo,LOQ,15.6,"59,990",,512 GB,Ryzen 5,Windows 11 Home,no rating,72 ratings,Dedicated
179,no brand,no model_name,no screen_size,345,no ram,no storage,no cpu_model,no operating_system,no rating,"2,175 ratings",no graphics_card_description
180,HP,HP Laptop,39.6 Centimetres,"62,490",16 GB,512 GB,Intel Core Ultra 5,Windows 11 Home,no rating,"1,645 ratings",Integrated
181,ASUS,ASUS Vivobook Go 15,15.6 Inches,"37,499",16 GB,no storage,Ryzen 5,Windows 11 Home,no rating,6 ratings,Integrated
182,Lenovo,IdeaPad,15.6 Inches,"35,220",16 GB,512 GB,Ryzen 5,Windows 11 Home,no rating,472 ratings,Integrated
183,Arctic Fox,no model_name,no screen_size,549,no ram,no storage,no cpu_model,"Compatible with Windows 8/10/11, Mac OS, iOS 13 and above, android",no rating,"6,006 ratings",no graphics_card_description
184,Lenovo,IdeaPad 5 2-in-1,14 Inches,"67,990",16 GB,512 GB,no cpu_model,Windows 11 Home,no rating,25 ratings,Integrated
185,GEONIX,no model_name,no screen_size,199,no ram,no storage,no cpu_model,no operating_system,no rating,56 ratings,no graphics_card_description
186,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,no rating,457 ratings,Integrated
187,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,no rating,121 ratings,Integrated
188,boAt,no model_name,no screen_size,"3,999",no ram,no storage,no cpu_model,no operating_system,no rating,352 ratings,no graphics_card_description
189,Tygot,no model_name,no screen_size,289,no ram,no storage,no cpu_model,no operating_system,no rating,"2,272 ratings",no graphics_card_description
190,no brand,no model_name,no screen_size,849,no ram,no storage,no cpu_model,no operating_system,no rating,"2,258 ratings",no graphics_card_description
191,Tukzer,no model_name,no screen_size,113,no ram,no storage,no cpu_model,no operating_system,3.4,807 ratings,no graphics_card_description
192,ZEBRONICS,no model_name,no screen_size,399,no ram,no storage,no cpu_model,no operating_system,no rating,"1,573 ratings",no graphics_card_description
193,Tukzer,no model_name,no screen_size,299,no ram,no storage,no cpu_model,no operating_system,no rating,"1,676 ratings",no graphics_card_description
194,no brand,no model_name,no screen_size,539,no ram,no storage,no cpu_model,no operating_system,no rating,"11,803 ratings",no graphics_card_description
195,ASUS,ASUS Zenbook 14,14 Inches,"92,990",,1 TB,Intel Core Ultra 5,Windows 11 Home,no rating,68 ratings,Integrated
196,Lenovo,IdeaPad Slim 3,no screen_size,"59,990",16 GB,no storage,Others,Windows 11 Home,no rating,249 ratings,Integrated
197,Lenovo,LOQ,15.6,"59,990",,512 GB,Ryzen 5,Windows 11 Home,no rating,72 ratings,Dedicated
198,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,no rating,620 ratings,Integrated
199,Apple,MacBook Air,13.6 Inches,"94,990",16 GB,no storage,Apple M2,no operating_system,no rating,8 ratings,no graphics_card_description
200,amazon basics,no model_name,no screen_size,"1,070",no ram,no storage,no cpu_model,no operating_system,no rating,361 ratings,no graphics_card_description
201,VANTRO,RS-NCPI-22,no screen_size,"2,400",no ram,no storage,no cpu_model,no operating_system,no rating,"7,262 ratings",no graphics_card_description
